#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
 20260818    11:30:01       0    447     76      -    100      1      0      0      0      0  10251   2415  21620     46      0      0      0 
 20260818    11:30:02       0    448     72      -    100    100      0      0      0      0  10251   2310  21620     46      0      0      1 
 20260818    11:30:03       0    450     78      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:30:04       0    445     77      -    100      1      0      0      0      0  10251   2490  21620     46      0      0      0 
 20260818    11:30:05       0    451     78      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:30:06       0    446     77      -    100      1      0      0      0      0  10251   2490  21620     46      0      0      0 
 20260818    11:30:07       0    451     78      -    100      1      0      0      0      0  10251   2445  21620     46      0      0      0 
 20260818    11:30:08       0    445     76      -    100     36      0      0      0      0  10251   2490  21620     46      0      0      0 
 20260818    11:30:10       0    449     78      -    100      1      0      0      0      0  10251   2430  21620     46      0      0      0 
 20260818    11:30:11       0    445     78      -    100     92      0      0      0      0  10251   2475  21620     46      0      0      7 
 20260818    11:30:12       0    452     77      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:30:13       0    447     73      -    100    100      0      0      0      0  10251   2670  21620     46      0      0      1 
 20260818    11:30:14       0    448     77      -    100      1      0      0      0      0  10251   2445  21620     46      0      0      0 
 20260818    11:30:15       0    448     78      -    100      1      0      0      0      0  10251   2445  21620     46      0      0      0 
 20260818    11:30:16       0    449     78      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:30:17       0    444     78      -    100      1      0      0      0      0  10251   2400  21620     46      0      0      0 
 20260818    11:30:18       0    450     78      -    100      1      0      0      0      0  10251   2460  21620     46      0      4      6 
 20260818    11:30:19       0    452     78      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:30:20       0    450     78      -    100      1      0      0      0      0  10251   2460  21620     46      0     12      5 
 20260818    11:30:21       0    448     78      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:30:22       0    451     78      -    100      1      0      0      0      0  10251   2490  21620     46      0     11      5 
 20260818    11:30:23       0    447     78      -    100      1      0      0      0      0  10251   2490  21620     46      0      0      0 
 20260818    11:30:24       0    448     72      -    100     91      0      0      0      0  10251   2280  21620     46      0     11      2 
 20260818    11:30:25       0    445     78      -    100      1      0      0      0      0  10251   2400  21620     46      0      0      0 
 20260818    11:30:26       0    445     73      -    100     38      0      0      0      0  10251   2385  21620     46      0     25      6 
 20260818    11:30:27       0    448     77      -    100      1      0      0      0      0  10251   2460  21620     46      0      0      0 
 20260818    11:30:28       0    447     71      -    100      7      0      0      0      0  10251   2535  21620     46      0   4895    356 
 20260818    11:30:29       0    448     77      -    100      1      0      0      0      0  10251   2505  21620     46      0      0      0 
 20260818    11:30:31       0    448     74      -    100      1      0      0      0      0  10251   2535  21620     46      0   3330    302 
 20260818    11:30:32       0    449     78      -    100      1      0      0      0      0  10251   2475  21620     46      0      1      0 
 20260818    11:30:33       0    448     78      -    100      1      0      0      0      0  10251   2475  21620     46      0    858      0 
 20260818    11:30:34       0    449     78      -    100      1      0      0      0      0  10251   2430  21620     46      0      0      1 
 20260818    11:30:35       0    442     76      -    100    100      0      0      0      0  10251   2520  21620     46      0      0      0 
 20260818    11:30:36       0    451     77      -    100      1      0      0      0      0  10251   2445  21620     46      0      0      0 
 20260818    11:30:37       0    441     70      -    100    100      0      0      0      0  10251   2610  21620     46      0    222     46 
 20260818    11:30:38       0    449     77      -    100      1      0      0      0      0  10251   2445  21620     46      0    216     45 
 20260818    11:30:39       0    423     68      -     80     50      0      0      0      0  10251   2700  21716     46      0      0      0 
 20260818    11:30:40       0    437     77      -    100      1      0      0      0      0  10251   2370  21716     46      0      0      0 
 20260818    11:30:41       0    446     74      -    100    100      0      0      0      0  10251   2145  21716     46      0      0      0 
